"time","timeDate","close","high","low","open","volumefrom","volumeto"
1540648800000,"2018-10-27",202.28,202.83,202.13,202.78,8108.49,1648681.38
1540652400000,"2018-10-27",202.05,202.36,201.65,202.3,10203.28,2066905.32
1540656000000,"2018-10-27",202.19,202.19,201.73,202.05,3969.61,802159.55
1540659600000,"2018-10-28",202.67,203.18,202.16,202.19,8375,1695814.97
1540663200000,"2018-10-28",202.47,202.69,202.31,202.67,2969.58,600782.88
1540666800000,"2018-10-28",202.76,202.9,202.43,202.47,2818.16,570884.43
1540670400000,"2018-10-28",202.49,202.79,202.46,202.76,3038.66,615064.78
1540674000000,"2018-10-28",202.7,202.8,202.48,202.49,3526.27,712304.72
1540677600000,"2018-10-28",202.93,203.1,202.69,202.7,4698.72,950738.02
1540681200000,"2018-10-28",202.79,202.98,202.69,202.93,2799.06,568207.48
1540684800000,"2018-10-28",202.58,202.84,202.58,202.79,4558,924065.62
1540688400000,"2018-10-28",202.65,202.84,202.53,202.58,1889.86,382323.13
1540692000000,"2018-10-28",202.76,202.9,202.57,202.65,3189.01,645864.41
1540695600000,"2018-10-28",202.94,203.1,202.76,202.76,5477.02,1114745.54
1540699200000,"2018-10-28",202.96,203.11,202.86,202.94,3372.15,684598.4
1540702800000,"2018-10-28",203.03,203.13,202.8,202.97,2177.74,441547.31
1540706400000,"2018-10-28",202.87,203.33,202.83,203.03,5417.06,1100703.12
1540710000000,"2018-10-28",202.99,203.2,202.5,202.87,4604.81,936312.69
1540713600000,"2018-10-28",202.96,203.05,202.72,202.99,1678.15,341520.14
1540717200000,"2018-10-28",202.93,203.14,202.85,202.96,2525.16,512598.76
1540720800000,"2018-10-28",202.88,203.09,202.8,202.93,3914.99,793516.17
1540724400000,"2018-10-28",202.85,202.89,202.6,202.87,4475.29,904831.39
1540728000000,"2018-10-28",203.01,203.02,202.82,202.85,1724.68,350633.16
1540731600000,"2018-10-28",203.78,204.36,202.86,203.01,13895.47,2834289.99
1540735200000,"2018-10-28",203.65,203.78,203.45,203.78,2703.18,550637.29
1540738800000,"2018-10-28",203.42,203.72,203,203.65,5738.58,1169782.05
1540742400000,"2018-10-28",203.22,203.59,202.89,203.42,5247.37,1067911.18
1540746000000,"2018-10-29",203.39,203.47,203.22,203.22,2721.46,552979.22
1540749600000,"2018-10-29",203.13,203.44,202.98,203.39,4256.11,863636.55
1540753200000,"2018-10-29",202.8,203.57,202.78,203.15,5138.37,1044567.07
1540756800000,"2018-10-29",202.93,203.1,202.66,202.8,3998.83,812787.79
1540760400000,"2018-10-29",202.9,203.01,202.75,202.93,3411.84,692279.69
1540764000000,"2018-10-29",203.28,203.3,202.84,202.9,2744.45,556298.62
1540767600000,"2018-10-29",203.72,204.23,203.16,203.28,9180.24,1872470.51
1540771200000,"2018-10-29",203.83,203.99,203.5,203.73,3129.42,638043.82
1540774800000,"2018-10-29",203.88,203.99,203.73,203.83,3256.46,664023.66
1540778400000,"2018-10-29",203.84,204.03,203.77,203.88,3494.31,712341.57
1540782000000,"2018-10-29",203.63,203.98,203.62,203.84,4880.22,994468.46
1540785600000,"2018-10-29",203.68,203.72,203.2,203.65,2936.24,595380.57
1540789200000,"2018-10-29",203.45,203.8,203.33,203.68,3335.02,678367.23
1540792800000,"2018-10-29",203.7,203.74,203.44,203.45,8585.73,1742088.88
